Hebrew name,English name,code
מעלה מכמש,MA'ALE MIKHMAS,3651
מעלה עמוס,MA'ALE AMOS,3653
מעון,MA'ON,3657
מבוא חורון,MEVO HORON,3709
מצדות יהודה,MEZADOT YEHUDA,3745
מגדלים,MIGDALIM,3751
מעלה לבונה,MA'ALE LEVONA,3752
משכיות,MASKIYYOT,3785
מודיעין עילית,MODI'IN ILLIT,3797
מעלה גמלא,MA'ALE GAMLA,4008
מיצר,MEZAR,4019
מרום גולן,MEROM GOLAN,4101
מג'דל שמס,MAJDAL SHAMS,4201
מסעדה,MAS'ADE,4203
מבוא חמה,MEVO HAMMA,4204
"ניר ח""ן",NIR HEN,11
נועם,NO'AM,15
נוגה,NOGAH,55
נחושה,NEHUSHA,59
ניר עוז,NIR OZ,69
נהלל,NAHALAL,80
נען,NA'AN,158
ניר יפה,NIR YAFE,165
נטעים,NETA'IM,174
נעורים,NE'URIM,186
נתיבות,NETIVOT,246
ניר דוד (תל עמל),NIR DAWID (TEL AMAL),256
נופך,NOFEKH,257
נווה איתן,NEWE ETAN,296
נהורה,NEHORA,309
נווה ים,NEWE YAM,312
נגבה,NEGBA,315
ניר צבי,NIR ZEVI,331
ניר עם,NIR AM,348
ניצן,NIZZAN,351
ניצנים,NIZZANIM,359
נבטים,NEVATIM,396
ניר יצחק,NIR YIZHAQ,402
נווה אילן,NEWE ILAN,405
נאות מרדכי,NE'OT MORDEKHAY,408
נחשולים,NAHSHOLIM,433
נצר סרני,NEZER SERENI,435
נורדיה,NORDIYYA,447
נחלים,NEHALIM,449
נחף,NAHEF,522
ניין,NEIN,523
נאעורה,NA'URA,524
ניר בנים,NIR BANIM,553
נווה אור,NEWE UR,590
נירים,NIRIM,602
נווה ימין,NEWE YAMIN,686
"נתיב הל""ה",NETIV HALAMED-HE,693
ניר ישראל,NIR YISRA'EL,699
נחשונים,NAHSHONIM,705
ניר גלים,NIR GALLIM,720
ניר עציון,NIR EZYON,769
נחשון,NAHSHON,777
נתיב השיירה,NETIV HASHAYYARA,792
ניר אליהו,NIR ELIYYAHU,808
נחם,NAHAM,809
נס הרים,NES HARIM,825
נווה מבטח,NEWE MIVTAH,827
נורית,NURIT,833
נחל עוז,NAHAL OZ,844
ניצני עוז,NIZZANE OZ,851
נווה ירק,NEWE YARAQ,858
נוה אבות,NEWE AVOT,926
נצאצרה (שבט),NASASRA,1041
נווה זוהר,NEWE ZOHAR,1057
נוף הגליל,Nof Hagalil,1061
נווה מיכאל,NEWE MIKHA'EL,1071
נאות הכיכר,NE'OT HAKIKKAR,1124
נס עמים,NES AMMIM,1143
נטועה,NETU'A,1147
ניצנה (קהילת חינוך),NIZZANA (QEHILAT HINUH),1195
נאות סמדר,NE'OT SMADAR,1197
נירית,NIRIT,1236
נתיב העשרה,NETIV HAASARA,1242
נטף,NATAF,1254
נווה שלום,NEWE SHALOM,1259
נווה חריף,NEWE HARIF,1279
ניצני סיני,NIZZANE SINAY,1280
נופית,NOFIT,1284
נווה זיו,NEWE ZIV,1314
נוף איילון,NOF AYYALON,1333
נווה,NAVE,1366
נטע,NETA,1369
נצר חזני,NEZER HAZZANI,1372
ניצן ב',NIZZAN B,1419
נחלה,NAHALA,2045
ניר משה,NIR MOSHE,2047
ניר עקיבא,NIR AQIVA,2048
נשר,NESHER,2500
נתיב הגדוד,NETIV HAGEDUD,3555
נירן,NIRAN,3620
"ניל""י",NILI,3655
"נעמ""ה",NA'AMA,3713
נגוהות,NEGOHOT,3724
נווה דניאל,NEWE DANIYYEL,3725
נוקדים,NOQEDIM,3726
נחליאל,NAHALI'EL,3767
נעלה,NA'ALE,3787
נופים,NOFIM,3790
נטור,NATUR,4014
נמרוד               ,NIMROD,4035
"נווה אטי""ב",NEWE ATIV,4303
נוב,NOV,4304
נאות גולן,NE'OT GOLAN,4551
נס ציונה,NES ZIYYONA,7200
נצרת,NAZARETH,7300
נתניה,NETANYA,7400
נהריה,NAHARIYYA,9100
סעד,SA'AD,419
סער,SA'AR,454
סאג'ור,SAJUR,525
סולם,SULAM,526
סאסא,SASA,578
סביון,SAVYON,587
סתריה,SITRIYYA,610
סואעד (חמרייה)(שבט),SAWA'ID(HAMRIYYE),942
סואעד (כמאנה) (שבט),SAWA'ID (KAMANE),989
סמר,SAMAR,1156
סייד (שבט),SAYYID,1170
ספיר,SAPPIR,1176
סופה,SUFA,1238
סלמה,SALLAMA,1245
סגולה,SEGULLA,2046
סלעית,SAL'IT,3567
סוסיה,SUSEYA,3756
סנסנה,SANSANA,3777
סח'נין,SAKHNIN,7500
עוצם,OZEM,32
עתלית,ATLIT,53
עין הוד,EN HOD,74
עין חרוד (מאוחד),EN HAROD(ME'UHAD),82
עין חרוד (איחוד),EN HAROD (IHUD),89
עין שמר,EN SHEMER,139
עיינות,AYANOT,156
עין ורד,EN WERED,157
עין החורש,EN HAHORESH,167
עין עירון,EN IRON,223
עין השופט,EN HASHOFET,270
עין גב,EN GEV,273
עין המפרץ,EN HAMIFRAZ,289
עמיעוז,AMMI'OZ,318
עמיר,AMIR,319
עזוז,EZUZ,328
עין העמק,EN HAEMEQ,367
עברון,EVRON,376
"עין הנצי""ב",EN HANAZIV,383
עמיעד,AMMI'AD,385
עין כרמל,EN KARMEL,426
עין דור,EN DOR,436
עילוט,ILUT,511
עין ראפה,EIN RAFA,514
עין נקובא,EIN NAQQUBA,521
עוזייר,UZEIR,528
עיילבון,EILABUN,530
עראבה,ARRABE,531
עין מאהל,EIN MAHEL,532
עספיא,ISIFYA,534
עין אל-אסד,EIN AL-ASAD,546
עשרת,ASERET,591
ערוגות,ARUGOT,593
עין צורים,EN ZURIM,622
ערערה,AR'ARA,637
עומר,OMER,666
עין השלושה,EN HASHELOSHA,676
עין איילה,EN AYYALA,687
עלמה,ALMA,688
עמקה,AMQA,708
עזריה,AZARYA,711
עולש,OLESH,737
עמיקם,AMMIQAM,773
עמינדב,AMMINADAV,779
עגור,AGUR,794
עין יהב,EN YAHAV,806
עופר,OFER,810
עין יעקב,EN YA'AQOV,813
עזריקם,AZRIQAM,817
עוזה,UZA,826
עזריאל,AZRI'EL,837
עינת,ENAT,871
עין שריד,EN SARID,880
עבדון,AVDON,892
עצמון שגב,ATSMON SEGEV,917
עוקבי (בנו עוקבה),UQBI (BANU UQBA),957
עטאוונה (שבט),ATAWNE,969
עין חצבה,EN HAZEVA,1053
"עין כרם-בי""ס חקלאי",EN KAREM-B.S.HAQLA'I,1056
עלומים,ALUMIM,1146
עזר,EZER,1149
עידן,IDDAN,1175
עיר אובות,IR OVOT,1187
ערערה-בנגב,AR'ARA-BANEGEV,1192
עדי,ADI,1199
עמוקה,AMUQQA,1212
עין הבשור,EN HABESOR,1240
עראמשה,ARAMSHA,1246
עין תמר,EN TAMAR,1251
עין חוד,EIN HOD,1320
ערב אל נעים,ARAB AL NAIM,1335
עדנים,ADANIM,2035
עין גדי,EN GEDI,2042
ערד,ARAD,2560
עפרה,OFRA,3617
עטרת,ATERET,3658
עמנואל,IMMANU'EL,3660
ענב,ENAV,3712
עלמון,ALMON,3715
עלי זהב,ALE ZAHAV,3727
עתניאל,OTNI'EL,3748
עלי,ELI,3765
עץ אפרים,EZ EFRAYIM,3778
עמיחי,Amihai,3824
ע'ג'ר,GHAJAR,4501
עין קנייא,EIN QINIYYE,4502
עין זיוון,EN ZIWAN,4503
עכו,AKKO,7600
עפולה,AFULA,7700
פרדסיה,PARDESIYYA,171
פקיעין חדשה,PEQI'IN HADASHA,281
פסוטה,FASSUTA,535
פקיעין (בוקייעה),PEQI'IN (BUQEI'A),536
פוריידיס,FUREIDIS,537
פלמחים,PALMAHIM,597
פרוד,PAROD,599
פטיש,PATTISH,749
פדויים,PEDUYIM,750
פורת,PORAT,767
פדיה,PEDAYA,838
פתחיה,PETAHYA,839
פוריה - כפר עבודה,PORIYYA-KEFAR AVODA,1104
פוריה - נווה עובד,PORIYYA-NEWE OVED,1105
פארן,PARAN,1151
פלך,PELEKH,1185
פרי גן,PERI GAN,1231
פוריה עילית,PORIYYA ILLIT,1313
פרזון,PERAZON,2053
"פעמי תש""ז",PA'AME TASHAZ,2059
פצאל,PEZA'EL,3615
פסגות,PESAGOT,3659
פני חבר,PENE HEVER,3723
פדואל,PEDU'EL,3768
פרדס חנה-כרכור,PARDES HANNA-KARKUR,7800
פתח תקווה,PETAH TIQWA,7900
צופית,ZOFIT,198
צור משה,ZUR MOSHE,276
צאלים,ZE'ELIM,413
צובה,ZOVA,465
צרעה,ZOR'A,567
צפריה,ZAFRIYYA,594
צרופה,ZERUFA,612
ציפורי,ZIPPORI,613
צנדלה,SANDALA,636
צוריאל,ZURI'EL,774
צלפון,ZELAFON,796
צפרירים,ZAFRIRIM,1079
צוקי ים,ZUQI YAM,1102
צור הדסה,ZUR HADASSA,1113
צוחר,ZOHAR,1136
צור נתן,ZUR NATAN,1148
צופר,ZOFAR,1150
צביה,ZVIYYA,1180
צבעון,ZIV'ON,1213
צורית,ZURIT,1221
צוקים,ZUQIM,1262
צור יצחק,ZUR YIZHAQ,1345
צופים,ZUFIM,3791
צפת,ZEFAT,8000
קרית ענבים,QIRYAT ANAVIM,78
קדימה-צורן,QADIMA-ZORAN,195
קבוצת יבנה,QEVUZAT YAVNE,334
קדמה,QEDMA,392
קרית שלמה,QIRYAT SHELOMO,412
קלחים,QELAHIM,414
קרית עקרון,QIRYAT EQRON,469
קדרון,QIDRON,615
קלנסווה,QALANSAWE,638
קוממיות,QOMEMIYYUT,766
קודייראת א-צאנע(שבט),QUDEIRAT AS-SANI,964
קוואעין (שבט),QAWA'IN,972
קרית מלאכי,QIRYAT MAL'AKHI,1034
קטורה,QETURA,1052
קרית יערים,QIRYAT YE'ARIM,1137
קיסריה,QESARYYA,1167
קורנית,QORANIT,1179
קדרים,QADDARIM,1211
קבועה (שבט),QABBO'A,1234
קציר,'QAZIR,1243
קצר א-סר,QASR A-SIR,1347
קרית יערים(מוסד),QIRYAT YE'ARIM(INSTITUTE),2039
קרית טבעון,QIRYAT TIV'ON,2300
קרית אונו,QIRYAT ONO,2620
קרית גת,QIRYAT GAT,2630
קרית שמונה,QIRYAT SHEMONA,2800
קדומים,QEDUMIM,3557
קליה,QALYA,3601
קרית ארבע,QIRYAT ARBA,3611
קרני שומרון,QARNE SHOMERON,3640
קרית נטפים,QIRYAT NETAFIM,3746
קדר,QEDAR,3781
קשת,QESHET,4006
קלע,QELA,4024
קדמת צבי,QIDMAT ZEVI,4025
קצרין,QAZRIN,4100
קרית אתא,QIRYAT ATTA,6800
קרית מוצקין,QIRYAT MOTZKIN,8200
קרית ביאליק,QIRYAT BIALIK,9500
קרית ים,QIRYAT YAM,9600
ראש פינה,ROSH PINNA,26
רמת ישי,RAMAT YISHAY,122
רמת רחל,RAMAT RAHEL,127
רמת דוד,RAMAT DAWID,135
רמת יוחנן,RAMAT YOHANAN,178
רמת הכובש,RAMAT HAKOVESH,184
רמות השבים,RAMOT HASHAVIM,206
רשפון,RISHPON,247
רמת השופט,RAMAT HASHOFET,335
רמת צבי,RAMAT ZEVI,339
רביבים,REVIVIM,354
רוחמה,RUHAMA,362
רמות נפתלי,RAMOT NAFTALI,372
רגבה,REGBA,390
רשפים,RESHAFIM,437
רגבים,REGAVIM,444
רמות מנשה,RAMOT MENASHE,445
רמת רזיאל,RAMAT RAZI'EL,460
רומאנה,RUMMANE,539
ריחאניה,REIHANIYYE,540
ריינה,REINE,542
ראמה,RAME,543
רבדים,REVADIM,564
רינתיה,RINNATYA,616
רעים,RE'IM,713
רמות מאיר,RAMOT ME'IR,735
רנן,RANNEN,789
רחוב,REHOV,854
רכסים,REKHASIM,922
ראס עלי,RAS ALI,990
רומת הייב,RUMAT HEIB,997
רם-און,RAM-ON,1069
רהט,RAHAT,1161
רביד,RAVID,1225
רקפת,RAQQEFET,1228
רתמים,RETAMIM,1260
ראס אל-עין,RAS AL-EIN,1334
רוח מדבר,RUAH MIDBAR,1341
רוויה,REWAYA,2016
רווחה,REWAHA,2051
ראש העין,ROSH HAAYIN,2640
רמת השרון,RAMAT HASHARON,2650
רימונים,RIMMONIM,3565
ריחן,REHAN,3568
ראש צורים,ROSH ZURIM,3602
רועי,RO'I,3619
רותם,ROTEM,3782
רבבה,REVAVA,3795
רחלים,REHELIM,3822
רמת מגשימים,RAMAT MAGSHIMIM,4701
רמות,RAMOT,4702
ראשון לציון,RISHON LEZIYYON,8300
רחובות,REHOVOT,8400
רמלה,RAMLA,8500
רמת גן,RAMAT GAN,8600
רעננה,RA'ANNANA,8700
שחר,SHAHAR,7
שדה משה,SEDE MOSHE,18
שדות מיכה,SEDOT MIKHA,27
שדה דוד,SEDE DAWID,36
שריד,SARID,126
שדה יעקב,SEDE YA'AQOV,142
שושנת העמקים,SHOSHANNAT HAAMAQIM,224
שפיים,SHEFAYIM,232
שער העמקים,SHA'AR HAAMAQIM,237
שדה נחום,SEDE NAHUM,259
שער הגולן,SHA'AR HAGOLAN,264
שבי ציון,SHAVE ZIYYON,282
שדה ורבורג,SEDE WARBURG,284
שרונה,SHARONA,292
שדה יואב,SEDE YO'AV,293
שדה אליהו,SEDE ELIYYAHU,304
שדמות דבורה,SHADMOT DEVORA,306
שאר ישוב,SHE'AR YASHUV,324
שדות ים,SEDOT YAM,327
שדה נחמיה,SEDE NEHEMYA,329
שמיר,SHAMIR,366
שובל,SHOVAL,394
שרשרת,SHARSHERET,398
שוקדה,SHOQEDA,415
שמרת,SHAMERAT,432
שלוחות,SHELUHOT,439
שורש,SHORESH,456
שזור,SHEZOR,527
שעב,SHA'AB,538
שדמה,SHEDEMA,555
שומרה,SHOMERA,614
שייח' דנון,SHEIKH DANNUN,658
שער אפרים,SHA'AR EFRAYIM,661
שפיר,SHAFIR,692
שדה אילן,SEDE ILAN,721
שדה עוזיהו,SEDE UZZIYYAHU,739
שואבה,SHO'EVA,741
שובה,SHUVA,761
שתולים,SHETULIM,763
שלומי,SHELOMI,812
שפר,SHEFER,846
שעלבים,SHA'ALVIM,856
שדה אליעזר,SEDE ELI'EZER,861
שיבולים,SHIBBOLIM,865
שלווה,SHALWA,873
שדה בוקר,SEDE BOQER,885
שבלי - אום אל-גנם,SHIBLI-UMM AL-GHANAM,913
שער מנשה,SHA'AR MENASHE,921
שדרות,SEDEROT,1031
שתולה,SHETULA,1045
שדה ניצן,SEDE NIZZAN,1058
שריגים (לי-און),SARIGIM (LI-ON),1114
שניר,SENIR,1132
שכניה,SHEKHANYA,1160
שילת,SHILAT,1165
שדי אברהם,SEDE AVRAHAM,1223
שקף,SHEQEF,1233
שורשים,SHORASHIM,1235
שומריה,SHOMERIYYA,1265
שחרות,SHAHARUT,1266
שיטים,SHITTIM,1267
שגב-שלום,SEGEV-SHALOM,1286
שני,SHANI,1287
שוהם,SHOHAM,1304
שמשית,SHIMSHIT,1337
שלומית,SHLOMIT,1364
שלווה במדבר,SHALVA BAMIDBAR,1373
שבי דרום,SHAVE DAROM,1377
שדה יצחק,SEDE YIZHAQ,2008
שדי חמד,SEDE HEMED,2015
שדה צבי,SEDE ZEVI,2049
שדי תרומות,SEDE TERUMOT,2057
שבי שומרון,SHAVE SHOMERON,3571
שדמות מחולה,SHADMOT MEHOLA,3578
שילה,SHILO,3641
שקד,SHAQED,3649
שערי תקווה,SHA'ARE TIQWA,3720
שמעה,SHIM'A,3784
שעל,SHA'AL,4009
שפרעם,SHEFAR'AM,8800
תירוש,TIROSH,10
תל יוסף,TEL YOSEF,84
תל עדשים,TEL ADASHIM,103
תל מונד,TEL MOND,154
תימורים,TIMMORIM,163
תל יצחק,TEL YIZHAQ,287
תקומה,TEQUMA,665
תפרח,TIFRAH,709
תל קציר,TEL QAZIR,719
תלמי יחיאל,TALME YEHI'EL,727
תלמי יפה,TALME YAFE,744
תעוז,TA'OZ,752
תרום,TARUM,778
תלמים,TELAMIM,814
תראבין א-צאנע (שבט),TARABIN AS-SANI,970
תלמי אליהו,TALME ELIYYAHU,1051
תל שבע,TEL SHEVA,1054
תושיה,TUSHIYYA,1083
תובל,TUVAL,1172
תלמי יוסף,TALME YOSEF,1237
תמרת,TIMRAT,1244
תל תאומים,TEL TE'OMIM,1283
תראבין א-צאנע,TARABIN AS-SANI,1346
תנובות,TENUVOT,2002
תלמי אלעזר,TALME EL'AZAR,2003
"תלמי ביל""ו",TALME BILU,2050
תדהר,TIDHAR,2061
תאשור,TE'ASHUR,2062
תומר,TOMER,3558
תקוע,TEQOA,3563
תלם,TELEM,3719
תל אביב - יפו,TEL AVIV - YAFO,5000
